No.,State,Name of reporting district,Math test participants,Math performance,Year,Reading test participants,Reading perfomance,Total students ,Total revenues,Current expenditures  ,"Current 
expenditures
per pupil","Total
expenditures
per pupil"
113,Florida,Broward county school district,134164,71,2010,153044,62,256137,2547733,2379582,9290.27,10977.461
114,Florida,Duval county school district,63162,64,2010,71925,57,122586,1179374,1091816,8906.53,10001.338
115,Florida,Hillsborough county school district,101517,66,2010,114918,60,193265,1885758,1640285,8487.232,10156.185
116,Florida,Lee county school district,42311,70,2010,48033,63,80484,821989,707452,8789.97,10390.922
117,Florida,Orange county school district,91719,66,2010,104914,60,173259,1806377,1421753,8205.94,10341.425
118,Florida,Osceola county school district,27867,60,2010,32057,57,52139,490192,431923,8284.067,10294.194
119,Florida,Palm beach county school district,91347,71,2010,104869,63,172897,1924004,1594952,9224.867,11289.045
120,Florida,Pinellas county school district,53311,64,2010,61180,61,105238,1039383,924258,8782.55,10635.93
121,Florida,Polk county school district,49653,61,2010,56349,55,94530,914627,819576,8670.009,9966.6244
122,Florida,Seminole county school district,33752,78,2010,39010,72,64457,567234,509841,7909.784,8871.294
123,Florida,Volusia county school district,32421,65,2010,37280,61,62306,618315,520768,8358.231,10137.467
124,Georgia,Atlanta public schools,25592,73,2010,25781,87,48909,828061,735714,15042.5,19233.679
125,Georgia,Clayton county school district,26577,77,2010,26929,88,50204,517483,466638,9294.837,10832.125
126,Georgia,Cobb county school district,55718,88,2010,56070,94,107245,1102180,976293,9103.389,9888.8899
127,Georgia,Dekalb county school district,50485,74,2010,50640,85,99406,1159197,995308,10012.55,11628.393
128,Georgia,Fulton county school district,47499,88,2010,47882,94,90399,1100931,888090,9824.113,11082.49
129,Georgia,Gwinnett county school district,85034,90,2010,85480,95,159296,1623148,1477999,9278.318,10742.649
130,Nevada,Clark county school district,166944,67,2010,167017,60,307059,3037823,2536794,8261.584,9942.9035
131,Nevada,Washoe county school district,34151,74,2010,34128,66,64838,627168,555778,8571.794,9819.3498
132,North carolina,Charlotte-mecklenburg schools,71250,82,2010,71020,71,136969,2297008,1135686,8291.555,11168.892
133,North carolina,Wake county schools,75893,85,2010,75707,76,140558,2061643,1086117,7727.18,9758.7757
